13.062 13.062    # From ESO web site (Bohlin source) 1
   1615.87    11.249 1
   1616.45    11.238 1
   1617.04    11.240 1
   1617.62    11.243 1
   1618.20    11.255 1
   1618.79    11.258 1
   1619.37    11.259 1
   1619.95    11.255 1
   1620.54    11.265 1
   1621.12    11.268 1
   1621.70    11.263 1
   1622.29    11.262 1
   1622.87    11.265 1
   1623.45    11.265 1
   1624.04    11.265 1
   1624.62    11.262 1
   1625.21    11.266 1
   1625.79    11.262 1
   1626.37    11.255 1
   1626.96    11.255 1
   1627.54    11.260 1
   1628.12    11.260 1
   1628.71    11.256 1
   1629.29    11.259 1
   1629.88    11.259 1
   1630.46    11.258 1
   1631.04    11.259 1
   1631.63    11.260 1
   1632.21    11.267 1
   1632.79    11.275 1
   1633.38    11.272 1
   1633.96    11.271 1
   1634.54    11.266 1
   1635.13    11.269 1
   1635.71    11.277 1
   1636.30    11.276 1
   1636.88    11.275 1
   1637.46    11.273 1
   1638.05    11.267 1
   1638.63    11.272 1
   1639.21    11.271 1
   1639.80    11.273 1
   1640.38    11.268 1
   1640.96    11.275 1
   1641.55    11.270 1
   1642.13    11.271 1
   1642.71    11.271 1
   1643.30    11.275 1
   1643.88    11.268 1
   1644.47    11.270 1
   1645.05    11.269 1
   1645.63    11.280 1
   1646.22    11.281 1
   1646.80    11.281 1
   1647.38    11.280 1
   1647.97    11.284 1
   1648.55    11.283 1
   1649.14    11.272 1
   1649.72    11.281 1
   1650.30    11.288 1
   1650.89    11.286 1
   1651.47    11.289 1
   1652.05    11.287 1
   1652.64    11.280 1
   1653.22    11.281 1
   1653.80    11.278 1
   1654.39    11.284 1
   1654.97    11.281 1
   1655.55    11.285 1
   1656.14    11.284 1
   1656.72    11.285 1
   1657.31    11.275 1
   1657.89    11.283 1
   1658.47    11.288 1
   1659.06    11.285 1
   1659.64    11.289 1
   1660.22    11.290 1
   1660.81    11.291 1
   1661.39    11.300 1
   1661.97    11.296 1
   1662.56    11.296 1
   1663.14    11.291 1
   1663.72    11.297 1
   1664.31    11.298 1
   1664.89    11.291 1
   1665.47    11.302 1
   1666.06    11.301 1
   1666.64    11.293 1
   1667.23    11.293 1
   1667.81    11.292 1
   1668.39    11.298 1
   1668.98    11.303 1
   1669.56    11.291 1
   1670.14    11.297 1
   1670.73    11.299 1
   1671.31    11.293 1
   1671.90    11.293 1
   1672.48    11.299 1
   1673.06    11.298 1
   1673.65    11.306 1
   1674.23    11.302 1
   1674.81    11.299 1
   1675.40    11.309 1
   1675.98    11.313 1
   1676.56    11.312 1
   1677.15    11.313 1
   1677.73    11.310 1
   1678.84    11.301 1
   1680.21    11.300 1
   1681.58    11.306 1
   1682.95    11.306 1
   1684.32    11.309 1
   1685.69    11.313 1
   1687.06    11.315 1
   1688.44    11.312 1
   1689.81    11.312 1
   1691.18    11.312 1
   1692.55    11.319 1
   1693.92    11.324 1
   1695.29    11.320 1
   1696.66    11.322 1
   1698.03    11.320 1
   1699.41    11.324 1
   1700.78    11.323 1
   1702.15    11.324 1
   1703.52    11.325 1
   1704.89    11.324 1
   1706.26    11.328 1
   1707.63    11.320 1
   1709.00    11.326 1
   1710.38    11.333 1
   1711.75    11.336 1
   1713.12    11.335 1
   1714.49    11.335 1
   1715.86    11.334 1
   1717.23    11.335 1
   1718.60    11.334 1
   1719.97    11.339 1
   1721.35    11.344 1
   1722.72    11.339 1
   1724.09    11.342 1
   1725.46    11.346 1
   1726.83    11.345 1
   1728.20    11.348 1
   1729.57    11.348 1
   1730.95    11.346 1
   1732.32    11.346 1
   1733.69    11.347 1
   1735.06    11.348 1
   1736.43    11.351 1
   1737.80    11.355 1
   1739.18    11.357 1
   1740.55    11.356 1
   1741.92    11.353 1
   1743.29    11.354 1
   1744.66    11.362 1
   1746.03    11.363 1
   1747.41    11.366 1
   1748.78    11.366 1
   1750.15    11.360 1
   1751.52    11.360 1
   1752.89    11.365 1
   1754.27    11.370 1
   1755.64    11.369 1
   1757.01    11.365 1
   1758.38    11.374 1
   1759.75    11.372 1
   1761.12    11.371 1
   1762.50    11.373 1
   1763.87    11.373 1
   1765.24    11.375 1
   1766.61    11.377 1
   1767.98    11.374 1
   1769.35    11.379 1
   1770.73    11.383 1
   1772.10    11.381 1
   1773.47    11.386 1
   1774.84    11.386 1
   1776.21    11.384 1
   1777.59    11.385 1
   1778.96    11.388 1
   1780.33    11.388 1
   1781.70    11.388 1
   1783.07    11.388 1
   1784.45    11.391 1
   1785.82    11.395 1
   1787.19    11.394 1
   1788.56    11.397 1
   1789.94    11.400 1
   1791.31    11.397 1
   1792.68    11.401 1
   1794.05    11.402 1
   1795.42    11.401 1
   1796.80    11.401 1
   1798.17    11.401 1
   1799.54    11.404 1
   1800.91    11.403 1
   1802.29    11.401 1
   1803.66    11.402 1
   1805.03    11.403 1
   1806.40    11.409 1
   1807.77    11.416 1
   1809.15    11.415 1
   1810.52    11.414 1
   1811.89    11.413 1
   1813.26    11.419 1
   1814.64    11.417 1
   1816.01    11.417 1
   1817.38    11.419 1
   1818.75    11.419 1
   1820.12    11.417 1
   1821.50    11.417 1
   1822.87    11.419 1
   1824.24    11.419 1
